AGI,symbol,FASTA header
AT4G28390,AAC3,ADP/ATP carrier 3
AT5G47720,AACT1,acetoacetyl-CoA thiolase 1
AT5G61160,AACT1,anthocyanin 5-aromatic acyltransferase 1
AT1G20560,AAE1,acyl activating enzyme 1
AT1G66120,AAE11,acyl-activating enzyme 11
AT1G65890,AAE12,acyl activating enzyme 12
AT3G16170,AAE13,acyl activating enzyme 13
AT1G30520,AAE14,acyl-activating enzyme 14
AT4G14070,AAE15,acyl-activating enzyme 15
AT3G23790,AAE16,acyl activating enzyme 16
AT5G23050,AAE17,acyl-activating enzyme 17
AT1G55320,AAE18,acyl-activating enzyme 18
AT1G77240,AAE2,acyl activating enzyme 2
AT2G17650,AAE2,Probable acyl-activating enzyme 2 [Source:UniProtKB/Swiss-Prot;Acc:Q9SEY5]
AT3G48990,AAE3,ACYL-ACTIVATING ENZYME 3
AT5G16370,AAE5,acyl activating enzyme 5
AT5G16340,AAE6,Probable acyl-activating enzyme 6 [Source:UniProtKB/Swiss-Prot;Acc:Q9FFE9]
AT3G16910,AAE7,acyl-activating enzyme 7
AT1G75960,AAE8,Probable acyl-activating enzyme 8 [Source:UniProtKB/Swiss-Prot;Acc:Q9LQS1]
AT1G66330,AAF,"Senescence-associated protein AAF, chlorolplastic [Source:UniProtKB/Swiss-Prot;Acc:Q9C8Y4]"
AT4G20070,AAH,allantoate amidohydrolase
AT5G60340,AAK6,Arabidopsis adenylate kinase 6
AT3G43600,AAO2,aldehyde oxidase 2
AT2G27150,AAO3,abscisic aldehyde oxidase 3
AT1G58360,AAP1,amino acid permease 1
AT4G35410,AAP19-2,AP-1 complex subunit sigma-2 [Source:UniProtKB/Swiss-Prot;Acc:O23685]
AT5G09220,AAP2,amino acid permease 2
AT1G77380,AAP3,amino acid permease 3
AT5G63850,AAP4,amino acid permease 4
AT1G44100,AAP5,amino acid permease 5
AT5G49630,AAP6,amino acid permease 6
AT5G23810,AAP7,amino acid permease 7
AT1G10010,AAP8,amino acid permease 8
AT1G13560,AAPT1,aminoalcoholphosphotransferase 1
AT3G25585,AAPT2,aminoalcoholphosphotransferase
AT3G28970,AAR3,antiauxin-resistant 3
AT4G14570,AARE,acylamino acid-releasing enzyme
AT2G20340,AAS,aromatic aldehyde synthase
AT2G22250,AAT,aspartate aminotransferase
AT4G21120,AAT1,amino acid transporter 1
AT1G47670,AATL1,Lysine histidine transporter-like 8 [Source:UniProtKB/Swiss-Prot;Acc:Q9SX98]
AT5G40010,AATP1,AAA-ATPase 1
AT5G67030,ABA1,ABA DEFICIENT 1
AT1G52340,ABA2,ABA DEFICIENT 2
AT1G16540,ABA3,ABA DEFICIENT 3
AT1G67080,ABA4,abscisic acid (ABA)-deficient 4
AT5G13060,ABAP1,ARMADILLO BTB protein 1
AT4G01660,ABC1,ABC transporter 1
AT1G79600,ABC1K3,ABC1K3 [Source:UniProtKB/TrEMBL;Acc:A0A178WNJ7]
AT1G60600,ABC4,ABERRANT CHLOROPLAST DEVELOPMENT 4
AT2G41700,ABCA1,ATP-binding cassette A1
AT5G61740,ABCA10,ATP-binding cassette A10
AT5G61690,ABCA11,ATP-binding cassette A11
AT5G61700,ABCA12,ATP-binding cassette A12
AT3G47730,ABCA2,ATP-binding cassette A2
AT3G47740,ABCA3,ATP-binding cassette A3
AT3G47750,ABCA4,ATP-binding cassette A4
AT3G47760,ABCA5,ATP-binding cassette A5
AT3G47770,ABCA6,ATP-binding cassette A6
AT3G47780,ABCA7,ATP-binding cassette A7
AT3G47790,ABCA8,ATP-binding cassette A8
AT5G61730,ABCA9,ATP-binding cassette A9
AT2G36910,ABCB1,ATP-binding cassette B1
AT1G02520,ABCB11,ATP-binding cassette B11
AT1G02530,ABCB12,ATP-binding cassette B12
AT1G27940,ABCB13,ATP-binding cassette B13
AT1G28010,ABCB14,ATP-binding cassette B14
AT3G28345,ABCB15,ATP-binding cassette B15
AT3G28360,ABCB16,ATP-binding cassette B16
AT3G28380,ABCB17,ATP-binding cassette B17
AT3G28390,ABCB18,ATP-binding cassette B18
AT3G28860,ABCB19,ATP-binding cassette B19
AT4G25960,ABCB2,ATP-binding cassette B2
AT3G55320,ABCB20,ATP-binding cassette B20
AT3G62150,ABCB21,ATP-binding cassette B21
AT3G28415,ABCB22,ATP-binding cassette B22
AT4G28630,ABCB23,ATP-binding cassette B23
AT4G28620,ABCB24,ATP-binding cassette B24
AT5G58270,ABCB25,ATP-binding cassette B25
AT1G70610,ABCB26,ATP-binding cassette B26
AT5G39040,ABCB27,ATP-binding cassette B27
AT4G25450,ABCB28,ATP-binding cassette B28
AT5G03910,ABCB29,ATP-binding cassette B29
AT4G01820,ABCB3,ATP-binding cassette B3
AT2G47000,ABCB4,ATP-binding cassette B4
AT4G01830,ABCB5,ATP-binding cassette B5
AT2G39480,ABCB6,ATP-binding cassette B6
AT5G46540,ABCB7,ATP-binding cassette B7
AT4G18050,ABCB9,ATP-binding cassette B9
AT1G30400,ABCC1,ATP-binding cassette C1
AT3G59140,ABCC10,ATP-binding cassette C10
AT1G30420,ABCC11,ATP-binding cassette C11
AT1G30410,ABCC12,ATP-binding cassette C12
AT2G07680,ABCC13,ATP-binding cassette C13
AT3G62700,ABCC14,ATP-binding cassette C14
AT3G60970,ABCC15,ATP-binding cassette C15
AT2G34660,ABCC2,ATP-binding cassette C2
AT3G13080,ABCC3,ATP-binding cassette C3
AT2G47800,ABCC4,ATP-binding cassette C4
AT1G04120,ABCC5,ATP-binding cassette C5
AT3G13090,ABCC6,ATP-binding cassette C6
AT3G13100,ABCC7,ATP-binding cassette C7
AT3G21250,ABCC8,ATP-binding cassette C8
AT3G60160,ABCC9,ATP-binding cassette C9
AT4G39850,ABCD1,ATP-binding cassette D1
AT1G54350,ABCD2,ATP-binding cassette D2
AT3G13640,ABCE1,ATP-binding cassette E1
AT4G19210,ABCE2,ATP-binding cassette E2
AT4G30300,ABCE3,ATP-binding cassette E3
AT5G60790,ABCF1,ATP-binding cassette F1
AT5G09930,ABCF2,ATP-binding cassette F2
AT1G64550,ABCF3,ATP-binding cassette F3
AT3G54540,ABCF4,ATP-binding cassette F4
AT5G64840,ABCF5,ATP-binding cassette F5
AT2G39350,ABCG1,ATP-binding cassette G1
AT1G53270,ABCG10,ATP-binding cassette G10
AT1G17840,ABCG11,ATP-binding cassette G11
AT1G51500,ABCG12,ATP-binding cassette G12
AT1G51460,ABCG13,ATP-binding cassette G13
AT1G31770,ABCG14,ATP-binding cassette G14
AT3G21090,ABCG15,ATP-binding cassette G15
AT3G55090,ABCG16,ATP-binding cassette G16
AT3G55100,ABCG17,ATP-binding cassette G17
AT3G55110,ABCG18,ATP-binding cassette G18
AT3G55130,ABCG19,ATP-binding cassette G19
AT2G37360,ABCG2,ATP-binding cassette G2
AT3G53510,ABCG20,ATP-binding cassette G20
AT3G25620,ABCG21,ATP-binding cassette G21
AT5G06530,ABCG22,ATP-binding cassette G22
AT5G19410,ABCG23,ATP-binding cassette G23
AT1G53390,ABCG24,ATP-binding cassette G24
AT1G71960,ABCG25,ATP-binding casette G25
AT3G13220,ABCG26,ATP-binding cassette G26
AT3G52310,ABCG27,ATP-binding cassette G27
AT5G60740,ABCG28,ATP-binding cassette G28
AT3G16340,ABCG29,ATP-binding cassette G29
AT2G28070,ABCG3,ATP-binding cassette G3
AT4G15230,ABCG30,ATP-binding cassette G30
AT2G29940,ABCG31,ATP-binding cassette G31
AT2G26910,ABCG32,ATP-binding cassette G32
AT2G37280,ABCG33,ATP-binding cassette G33
AT2G36380,ABCG34,ATP-binding cassette G34
AT1G15210,ABCG35,ATP-binding cassette G35
AT3G53480,ABCG37,ATP-binding cassette G37
AT3G30842,ABCG38,ATP-binding cassette G38
AT1G66950,ABCG39,ATP-binding cassette G39
AT4G25750,ABCG4,ATP-binding cassette G4
AT1G15520,ABCG40,ATP-binding cassette G40
AT4G15215,ABCG41,ATP-binding cassette G41
AT4G15233,ABCG42,ATP-binding cassette G42
AT4G15236,ABCG43,ATP-binding cassette G43
AT2G13610,ABCG5,ATP-binding cassette G5
AT5G13580,ABCG6,ATP-binding cassette G6
AT2G01320,ABCG7,ATP-binding cassette G7
AT5G52860,ABCG8,ATP-binding cassette G8
AT4G27420,ABCG9,ATP-binding cassette G9
AT1G63270,ABCI1,ATP-binding cassette I1
AT4G33460,ABCI10,ATP-binding cassette I10
AT5G14100,ABCI11,ATP-binding cassette I11
AT3G21580,ABCI12,ATP-binding cassette I12
AT1G65410,ABCI13,ATP-binding cassette I13
AT1G19800,ABCI14,ATP-binding cassette I14
AT3G20320,ABCI15,ATP-binding cassette I15
AT2G37300,ABCI16,ATP-binding cassette I16
AT1G67940,ABCI17,ATP-binding cassette I17
AT1G03900,ABCI18,ATP-binding cassette I18
AT1G03905,ABCI19,ATP-binding cassette I19
AT5G02270,ABCI20,ATP-binding cassette I20
AT5G44110,ABCI21,ATP-binding cassette A21
AT2G07681,ABCI4,ATP-binding cassette I4
AT2G07771,ABCI5,ATP-binding cassette I5
AT1G32500,ABCI7,ATP-binding cassette I7
AT4G04770,ABCI8,ATP-binding cassette I8
AT5G44316,ABCI9,ATP-binding cassette I9
AT1G49720,ABF1,abscisic acid responsive element-binding factor 1
AT1G45249,ABF2,abscisic acid responsive elements-binding factor 2
AT4G34000,ABF3,abscisic acid responsive elements-binding factor 3
AT3G19290,ABF4,ABRE binding factor 4
AT2G13540,ABH1,ABA HYPERSENSITIVE 1
AT4G26080,ABI1,ABA INSENSITIVE 1
AT5G57050,ABI2,ABA INSENSITIVE 2
AT3G24650,ABI3,ABA INSENSITIVE 3
AT2G40220,ABI4,ABA INSENSITIVE 4
AT2G36270,ABI5,ABA INSENSITIVE 5
AT2G46225,ABIL1,ABI-1-like 1
AT3G49290,ABIL2,ABL interactor-like protein 2
AT5G24310,ABIL3,ABL interactor-like protein 3
AT5G42030,ABIL4,ABL interactor-like protein 4
AT5G13680,ABO1,ABA-OVERLY SENSITIVE 1
AT1G66600,ABO3,ABA overly sensitive mutant 3
AT1G51965,ABO5,ABA Overly-Sensitive 5
AT5G04895,ABO6,ABA overly sensitive 6
AT4G02980,ABP1,endoplasmic reticulum auxin binding protein 1
AT5G64750,ABR1,ABA REPRESSOR1
AT2G36080,ABS2,ABNORMAL SHOOT 2
AT1G13210,ACA.l,autoinhibited Ca2+/ATPase II
AT1G27770,ACA1,autoinhibited Ca2+-ATPase 1
AT3G52720,ACA1,alpha carbonic anhydrase 1
AT4G29900,ACA10,autoinhibited Ca(2+)-ATPase 10
AT3G57330,ACA11,autoinhibited Ca2+-ATPase 11
AT3G63380,ACA12,Calcium-transporting ATPase [Source:UniProtKB/TrEMBL;Acc:A0A178VEV7]
AT3G22910,ACA13,"Putative calcium-transporting ATPase 13, plasma membrane-type [Source:UniProtKB/Swiss-Prot;Acc:Q9LIK7]"
AT2G28210,ACA2,alpha carbonic anhydrase 2
AT4G37640,ACA2,calcium ATPase 2
AT5G04180,ACA3,alpha carbonic anhydrase 3
AT2G41560,ACA4,"autoinhibited Ca(2+)-ATPase, isoform 4"
AT4G20990,ACA4,alpha carbonic anhydrase 4
AT1G08065,ACA5,alpha carbonic anhydrase 5
AT4G21000,ACA6,alpha carbonic anhydrase 6
AT1G08080,ACA7,alpha carbonic anhydrase 7
AT2G22950,ACA7,auto-regulated Ca2+-ATPase 7
AT5G56330,ACA8,alpha carbonic anhydrase 8
AT5G57110,ACA8,"autoinhibited Ca2+ -ATPase, isoform 8"
AT3G21180,ACA9,autoinhibited Ca(2+)-ATPase 9
AT5G48230,ACAT2,acetoacetyl-CoA thiolase 2
AT5G53470,ACBP1,acyl-CoA binding protein 1
AT4G27780,ACBP2,acyl-CoA binding protein 2
AT4G24230,ACBP3,acyl-CoA-binding domain 3
AT3G05420,ACBP4,acyl-CoA binding protein 4
AT5G27630,ACBP5,acyl-CoA binding protein 5
AT1G31812,ACBP6,acyl-CoA-binding protein 6
AT1G36160,ACC1,acetyl-CoA carboxylase 1
AT1G36180,ACC2,acetyl-CoA carboxylase 2
ATCG00500,ACCD,"Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta, chloroplastic [Source:UniProtKB/TrEMBL;Acc:A0A1B1W4V3]"
AT3G44880,ACD1,ACCELERATED CELL DEATH 1
AT2G34690,ACD11,ACCELERATED CELL DEATH 11
AT4G25650,ACD1-LIKE,ACD1-like
AT4G37000,ACD2,ACCELERATED CELL DEATH 2
AT1G54850,ACD22.3,Alpha-crystallin domain-containing protein 22.3 [Source:UniProtKB/Swiss-Prot;Acc:Q84K79]
AT1G06460,ACD32.1,alpha-crystallin domain 32.1
AT5G51290,ACD5,ACCELERATED CELL DEATH 5
AT4G14400,ACD6,ACCELERATED CELL DEATH 6
AT4G31390,ACDO1,ABC1-like kinase related to chlorophyll degradation and oxidative stress 1
AT4G26160,ACHT1,atypical CYS  HIS rich thioredoxin 1
AT4G29670,ACHT2,atypical CYS  HIS rich thioredoxin 2
AT2G33270,ACHT3,atypical CYS  HIS rich thioredoxin 3
AT1G08570,ACHT4,atypical CYS  HIS rich thioredoxin 4
AT5G61440,ACHT5,atypical CYS  HIS rich thioredoxin 5
AT5G01370,ACI1,ALC-interacting protein 1
AT2G23600,ACL,acetone-cyanohydrin lyase
AT5G19530,ACL5,ACAULIS 5
AT1G10670,ACLA-1,ATP-citrate lyase A-1
AT1G60810,ACLA-2,ATP-citrate lyase A-2
AT1G09430,ACLA-3,ATP-citrate lyase A-3
AT3G06650,ACLB-1,ATP-citrate lyase B-1
AT5G49460,ACLB-2,ATP citrate lyase subunit B 2
AT2G19590,ACO1,ACC oxidase 1
AT4G35830,ACO1,aconitase 1
AT1G62380,ACO2,ACC oxidase 2
AT4G26970,ACO2,aconitase 2
AT2G05710,ACO3,aconitase 3
AT1G62940,ACOS5,acyl-CoA synthetase 5
AT3G05020,ACP1,acyl carrier protein 1
AT1G54580,ACP2,acyl carrier protein 2
AT1G54630,ACP3,acyl carrier protein 3
AT4G25050,ACP4,acyl carrier protein 4
AT5G27200,ACP5,acyl carrier protein 5
AT5G65890,ACR1,ACT domain repeat 1
AT2G36840,ACR10,ACT domain repeats 10
AT1G16880,ACR11,ACT domain repeats 11
AT5G04740,ACR12,ACT domain repeats 12
AT5G25320,ACR2,ACT domain-containing protein ACR2 [Source:UniProtKB/Swiss-Prot;Acc:F4JWR0]
AT1G76990,ACR3,ACT domain repeat 3
AT1G69040,ACR4,ACT domain repeat 4
AT2G03730,ACR5,ACT domain repeat 5
AT3G01990,ACR6,ACT domain repeat 6
AT4G22780,ACR7,ACT domain repeat 7
AT1G12420,ACR8,ACT domain repeat 8
AT2G39570,ACR9,ACT domain repeats 9
AT5G36880,ACS,acetyl-CoA synthetase
AT3G61510,ACS1,ACC synthase 1
AT1G62960,ACS10,ACC synthase 10
AT4G08040,ACS11,1-aminocyclopropane-1-carboxylate synthase 11
AT5G51690,ACS12,1-amino-cyclopropane-1-carboxylate synthase 12
AT1G01480,ACS2,1-amino-cyclopropane-1-carboxylate synthase 2
AT5G28360,ACS3,1-aminocyclopropane-1-carboxylate synthase like pseudogene
AT2G22810,ACS4,1-aminocyclopropane-1-carboxylate synthase 4
AT5G65800,ACS5,ACC synthase 5
AT4G11280,ACS6,1-aminocyclopropane-1-carboxylic acid (acc) synthase 6
AT4G26200,ACS7,1-amino-cyclopropane-1-carboxylate synthase 7
AT4G37770,ACS8,1-amino-cyclopropane-1-carboxylate synthase 8
AT3G49700,ACS9,1-aminocyclopropane-1-carboxylate synthase 9
AT2G37620,ACT1,actin 1
AT3G12110,ACT11,actin-11
AT3G46520,ACT12,actin-12
AT3G18780,ACT2,actin 2
AT3G53750,ACT3,actin 3
AT5G59370,ACT4,actin 4
AT2G42100,ACT5,Putative actin-5 [Source:UniProtKB/Swiss-Prot;Acc:Q8RYC2]
AT5G09810,ACT7,actin 7
AT1G49240,ACT8,actin 8
AT2G42090,ACT9,actin 9
AT4G16760,ACX1,acyl-CoA oxidase 1
AT5G65110,ACX2,acyl-CoA oxidase 2
AT1G06290,ACX3,acyl-CoA oxidase 3
AT3G51840,ACX4,acyl-CoA oxidase 4
AT2G35690,ACX5,acyl-CoA oxidase 5
AT1G06310,ACX6,acyl-CoA oxidase 6
AT4G25570,ACYB-2,
AT3G07740,ADA2A,homolog of yeast ADA2 2A
AT4G16420,ADA2B,homolog of yeast ADA2 2B
AT1G16060,ADAP,ARIA-interacting double AP2 domain protein
AT2G16500,ADC1,arginine decarboxylase 1
AT4G34710,ADC2,arginine decarboxylase 2
AT5G57850,ADCL,4-amino-4-deoxychorismate lyase
AT3G46010,ADF1,actin depolymerizing factor 1
AT5G52360,ADF10,actin depolymerizing factor 10
AT1G01750,ADF11,actin depolymerizing factor 11
AT3G45990,ADF11,Putative actin-depolymerizing factor 11 [Source:UniProtKB/Swiss-Prot;Acc:Q9LZT3]
AT3G46000,ADF2,actin depolymerizing factor 2
AT5G59880,ADF3,actin depolymerizing factor 3
AT5G59890,ADF4,actin depolymerizing factor 4
AT2G16700,ADF5,actin depolymerizing factor 5
AT2G31200,ADF6,actin depolymerizing factor 6
AT4G25590,ADF7,actin depolymerizing factor 7
AT4G00680,ADF8,actin depolymerizing factor 8
AT4G34970,ADF9,actin depolymerizing factor 9
AT5G48300,ADG1,ADP glucose pyrophosphorylase  1
AT1G77120,ADH1,alcohol dehydrogenase 1
AT2G37250,ADK,adenosine kinase
AT1G03930,ADK1,dual specificity kinase 1
AT3G09820,ADK1,adenosine kinase 1
AT5G63400,ADK1,adenylate kinase 1
AT5G03300,ADK2,adenosine kinase 2
AT5G50370,ADK2,Adenylate kinase 3 [Source:UniProtKB/Swiss-Prot;Acc:Q9FK35]
AT1G10290,ADL6,dynamin-like protein 6
AT4G11940,ADM,Protein ADMETOS [Source:UniProtKB/Swiss-Prot;Acc:Q9SZ59]
AT4G01100,ADNT1,adenine nucleotide transporter 1
AT3G57510,ADPG1,
AT1G33560,ADR1,ACTIVATED DISEASE RESISTANCE 1
AT4G33300,ADR1-L1,ADR1-like 1
AT5G04720,ADR1-L2,ADR1-like 2
AT5G47280,ADR1-L3,ADR1-like 3
AT1G06080,ADS1,delta 9 desaturase 1
AT4G29140,ADS1,ACTIVATED DISEASE SUSCEPTIBILITY 1
AT2G31360,ADS2,16:0delta9 desaturase 2
AT3G15870,ADS3.2,"Probable lipid desaturase ADS3.2, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:Q9LVZ3]"
AT1G06350,ADS4,delta 9 desaturase 4
AT3G57610,ADSS,adenylosuccinate synthase
AT1G11790,ADT1,arogenate dehydratase 1
AT3G07630,ADT2,arogenate dehydratase 2
AT3G44720,ADT4,arogenate dehydratase 4
AT5G22630,ADT5,arogenate dehydratase 5
AT1G08250,ADT6,arogenate dehydratase 6
AT1G68310,AE7,AS1/2 ENHANCER7
AT5G10760,AED1,Aspartyl protease AED1 [Source:UniProtKB/Swiss-Prot;Acc:Q9LEW3]
AT1G09750,AED3,Aspartyl protease AED3 [Source:UniProtKB/Swiss-Prot;Acc:O04496]
AT1G21530,AEE10,Probable acyl-activating enzyme 10 [Source:UniProtKB/Swiss-Prot;Acc:Q9LPK7]
AT1G76290,AEE21,Probable acyl-activating enzyme 21 [Source:UniProtKB/Swiss-Prot;Acc:Q9SFW5]
AT1G68270,AEE22,Probable acyl-activating enzyme 22 [Source:UniProtKB/Swiss-Prot;Acc:Q9C9G2]
AT1G21540,AEE9,Probable acyl-activating enzyme 9 [Source:UniProtKB/Swiss-Prot;Acc:Q9LPK6]
AT3G50845,AEL1,Protein AE7-like 1 [Source:UniProtKB/Swiss-Prot;Acc:A8MR89]
AT3G09380,AEL2,Protein AE7-like 2 [Source:UniProtKB/Swiss-Prot;Acc:Q9SR25]
AT5G16970,AER,alkenal reductase
AT3G26810,AFB2,auxin signaling F-box 2
AT1G12820,AFB3,auxin signaling F-box 3
AT4G24390,AFB4,auxin signaling F-box 4
AT5G49980,AFB5,auxin F-box protein 5
AT3G25500,AFH1,formin homology 1
AT1G31810,AFH14,Formin Homology 14
AT2G45190,AFO,ABNORMAL FLORAL ORGANS
AT1G69260,AFP1,ABI five binding protein
AT1G13740,AFP2,ABI five binding protein 2
AT3G29575,AFP3,ABI five binding protein 3
AT2G24540,AFR,ATTENUATED FAR-RED RESPONSE
AT4G18960,AG,AGAMOUS
AT5G08380,AGAL1,alpha-galactosidase 1
AT5G08370,AGAL2,alpha-galactosidase 2
AT3G56310,AGAL3,Alpha-galactosidase 3 [Source:UniProtKB/Swiss-Prot;Acc:Q8VXZ7]
AT4G34460,AGB1,GTP binding protein beta 1
AT3G12690,AGC1.5,AGC kinase 1.5
AT1G79250,AGC1.7,AGC kinase 1.7
AT3G25250,AGC2-1,
AT5G61980,AGD1,ARF-GAP domain 1
AT3G07490,AGD11,ARF-GAP domain 11
AT3G07940,AGD11,Probable ADP-ribosylation factor GTPase-activating protein AGD11 [Source:UniProtKB/Swiss-Prot;Acc:Q8L7A4]
AT4G05330,AGD13,ARF-GAP domain 13
AT3G17660,AGD15,ARF-GAP domain 15
AT1G60860,AGD2,ARF-GAP domain 2
AT4G33680,AGD2,ABERRANT GROWTH AND DEATH 2
AT1G60680,AGD2,Probable aldo-keto reductase 2 [Source:UniProtKB/Swiss-Prot;Acc:Q84M96]
AT1G10870,AGD4,ARF-GAP domain 4
AT5G54310,AGD5,ARF-GAP domain 5
AT3G53710,AGD6,ARF-GAP domain 6
AT2G37550,AGD7,ARF-GAP domain 7
AT4G17890,AGD8,ARF-GAP domain 8
AT5G46750,AGD9,ARF-GAP domain 9
AT4G35390,AGF1,AT-hook protein of GA feedback 1
AT3G55560,AGF2,AT-hook protein of GA feedback 2
AT3G22942,AGG2,G-protein gamma subunit 2
AT5G20635,AGG3,Arabidopsis G protein gamma subunit 3
AT3G57550,AGK2,guanylate kinase
AT5G27050,AGL101,AGAMOUS-like 101
AT1G47760,AGL102,AGAMOUS-like 102
AT3G18650,AGL103,AGAMOUS-like 103
AT1G22130,AGL104,AGAMOUS-like 104
AT5G37415,AGL105,AGAMOUS-like 105
AT1G71692,AGL12,AGAMOUS-like 12
AT3G61120,AGL13,AGAMOUS-like 13
AT4G11880,AGL14,AGAMOUS-like 14
AT5G13790,AGL15,AGAMOUS-like 15
AT3G57230,AGL16,AGAMOUS-like 16
AT2G22630,AGL17,AGAMOUS-like 17
AT3G57390,AGL18,AGAMOUS-like 18
AT4G22950,AGL19,AGAMOUS-like 19
AT2G45660,AGL20,AGAMOUS-like 20
AT4G37940,AGL21,AGAMOUS-like 21
AT1G65360,AGL23,AGAMOUS-like 23
AT4G24540,AGL24,AGAMOUS-like 24
AT5G26880,AGL26,AGAMOUS-like 26
AT1G01530,AGL28,AGAMOUS-like 28
AT2G34440,AGL29,AGAMOUS-like 29
AT2G03060,AGL30,AGAMOUS-like 30
AT5G65050,AGL31,AGAMOUS-like 31
AT2G26320,AGL33,AGAMOUS-like 33
AT5G26580,AGL34,AGAMOUS-like-34
AT5G26650,AGL36,AGAMOUS-like 36
AT1G65300,AGL38,AGAMOUS-like 38
AT5G27130,AGL39,AGAMOUS-like 39
AT2G26880,AGL41,AGAMOUS-like 41
AT5G62165,AGL42,AGAMOUS-like 42
AT5G40220,AGL43,AGAMOUS-like 43
AT2G14210,AGL44,AGAMOUS-like 44
